chainId,dexId,baseToken:,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress
bsc,coneexchange,BNBx,0x1bdd3Cf7F79cfB8EdbB955f20ad99211551BA275,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xE483f60682a11Da3455Dfa7912a6eaC6176F5797
bsc,0x71539D09D3890195dDa87A6198B98B75211b72F3,BNBx,0x1bdd3Cf7F79cfB8EdbB955f20ad99211551BA275,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xc5c929b9cbda49523634A80c7bFd67c0bce6C3ea
bsc,apeswap,BNBx,0x1bdd3Cf7F79cfB8EdbB955f20ad99211551BA275,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xB88F211EC9ecfc2931Ae1DE53ea28Da76B9Ed37A
